stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,stop_url,parent_station,stop_desc,stop_name,location_type,stop_id,zone_id
43.955816,2,93353,-78.86148,,,,,Conlin Westbound @ Riverton,0,93353:1,
43.874044,2,93257,-78.885968,,,,,Champlain Westbound @ Thornton,0,93257:1,
43.792626,1,93259,-79.163294,,,,,Ellesmere Westbound @ Meadowvale,0,93259:1,
44.10305,2,93094,-78.99349,,,,,Reach Eastbound @ Highway 7/12,0,93094:1,
43.796344,2,93987,-79.227343,,,,,Sheppard Westbound @ Washburn Way,0,939871,
43.8680098,1,330,-78.929162,,,,,Consumers Eastbound @ Garden,0,330:1,
43.8289,1,2024,-79.032247,,,,,Lake Driveway Eastbound @ Walker,0,2024:1,
43.922073,2,188,-78.960088,,,,,Baldwin Northbound @ Robert Attersley,0,188:1,
43.8469093,1,2331,-79.0381401,,,,,Fairall Eastbound @ Westney (East side stop),0,2331:1,
43.844067,1,1751,-79.126966,,,,,Whites Southbound @ Sunbird Trail,0,1751:1,
43.899535,2,93521,-78.883283,,,,,Adelaide Westbound @ Fernhill,0,935211,
43.907681,1,1139,-78.835475,,,,,Harmony Northbound @ Regent,0,1139:1,
43.90541,1,1137,-78.829896,,,,,King Westbound @ Melrose,0,1137:1,
43.868802,1,332,-78.924038,,,,,Consumers Eastbound @ Cannon,0,332:1,
43.943242,1,93359,-78.86174,,,,,Wilson Northbound @ Clearsky,0,93359:1,
43.8488203,1,2333,-79.0293951,,,,,Fairall Eastbound @ Dowty,0,2333:1,
43.826304,1,1757,-79.118976,,,,,Whites Southbound @ Bayfield,0,1757:1,
43.847733,1,1792,-79.085486,,,,,Finch Westbound @ Valley Farm,0,1792:1,
43.839284,1,93420,-79.124213,,,,,Finch Westbound @ Whites,0,93420:1,
43.846555,1,93596,-79.02766,,,,,Southbound @ 160 Dowty,0,935961,
43.91836021,1,2713,-78.944325,,,,,Taunton Westbound @ Fallingbrook,0,2713:1,
43.929238,2,713,-78.877548,,,,,Simcoe Southbound @ Orchard View,0,713:1,
43.8504078,1,1790,-79.0700786,,,,,Kingston Eastbound @ Bainbridge,0,1790:1,
43.944385,1,93426,-78.872175,,,,,Coldstream Eastbound @ Ritson,0,93426:1,
43.83537,2,2323,-79.0576,,,,,Bayly Westbound @ Squires Beach,0,2323:1,
43.883063,2,3109,-78.84632,,,,,Ritson Southbound @ Bloor,0,3109:1,
43.899581,1,480,-78.940539,,,,,Rossland Eastbound @ Garden (Durham Region Headquarters),0,480:1,
43.904563,1,1232,-78.785437,,,,,Northbound @ 2501 Trulls,0,1232:1,
43.953015,2,94050,-78.877242,,,,,Ritson Southbound @ Maine,0,940501,
43.94436,1,94105,-78.95963,,,,,Baldwin-Highway 407 Park and Ride,0,941051,
43.923364,1,866,-78.864075,,,,,Ritson Southbound @ Wildflower,0,866:1,
43.896874,1,180,-78.949308,,,,,Brock Street Northbound @ Rossland,0,180:1,
43.826169,2,1745,-79.118693,,,,,Whites Northbound @ Briar Wood,0,1745:1,
43.871596,1,336,-78.9098154,,,,,Eastbound @ 23 Consumers,0,336:1,
43.90300993,1,1234,-78.790682,,,,,Sandringham Westbound @ Yorkville,0,1234:1,
43.88834,1,93183,-78.844227,,,,,Dean Westbound @ Normandy,0,93183:1,
43.903112,2,182,-78.95233,,,,,Brock Street Northbound @ Dryden,0,182:1,
43.833399,1,1747,-79.121756,,,,,Whites Northbound @ New,0,1747:1,
43.902369,1,719,-78.870727,,,,,Adelaide Eastbound @ Kaiser,0,719:1,
43.906341,1,93185,-78.921216,,,,,Northbound @ 3193 Thickson,0,93185:1,
43.962238,2,94112,-78.967677,,,,,Carnwith Eastbound @ Montgomery,0,941121,
43.823774,1,2022,-79.034075,,,,,Lake Driveway Northbound @ Hawkins,0,2022:1,
43.892717,1,92064,-79.028741,,,,,Salem Southbound @ Williamson,0,92064:1,
43.88767,1,1068,-78.810582,,,,,Grandview Southbound @ Downview,0,1068:1,
43.922588,2,3342,-78.852865,,,,,Wilson Southbound @ Terrace,0,3342:1,
43.875698,2,3565,-78.841968,,,,,Wentworth Westbound @ Ritson,0,3565:1,
43.889924,2,94061,-78.971264,,,,,McQuay Eastbound @ Jacob,0,940611,
43.903236,1,720,-78.866944,,,,,Adelaide Eastbound @ Simcoe,0,720:1,
43.843819,1,1966,-79.065034,,,,,Pickering Parkway Eastbound @ Beechlawn,0,1966:1,
43.905681,1,722,-78.859663,,,,,Adelaide Eastbound @ Division,0,722:1,
43.897731,1,2400,-79.0312632,,,,,Taunton Eastbound @ Salem,0,2400:1,
43.9545412,2,3579,-78.9057703,,,,,Britannia Eastbound @ Kentucky Derby,0,3579:1,
43.8946592,1,179,-78.9483474,,,,,Brock Street Northbound @ Wallace,0,179:1,
43.899925,1,1187,-78.853177,,,,,King Eastbound @ Rowe,0,1187:1,
43.88431645,1,93247,-78.90604,,,,,Nichol Eastbound @ Springwood,0,93247:1,
43.864386,1,2149,-79.026404,,,,,Harwood Southbound @ Chapman,0,2149:1,
43.81332,1,1616,-79.123324,,,,,Kingston Westbound @ Rosebank,0,1616:1,
43.898339,2,1185,-78.860061,,,,,King Eastbound @ Mary,0,1185:1,
44.104907,1,2428,-79.113612,,,,,Reach Eastbound @ East,0,2428:1,
44.112316,2,2454,-78.951684,,,,,Reach Westbound @ Simcoe,0,2454:1,
43.9039406,2,3115,-78.8557913,,,,,Southbound @ 206 Ritson,0,3115:1,
43.843305,1,93193,-79.073586,,,,,Pickering Parkway Westbound @ Denmar,0,93193:1,
43.979501,2,2456,-78.910012,,,,,Simcoe Northbound @ Steepleview (Columbus),0,2456:1,
43.85004333,1,93191,-79.07550837,,,,,Brock Road Southbound @ Finch,0,93191:1,
43.878204,2,3567,-78.853061,,,,,Simcoe Southbound @ Erie,0,3567:1,
43.915191,1,882,-78.860494,,,,,Ritson Northbound @ Oshawa Boulevard (South stop),0,882:1,
43.87033,1,2147,-79.024269,,,,,Harwood Southbound @ Kerrison,0,2147:1,
43.93034,1,93041,-78.962752,,,,,Baldwin Northbound @ Canary,0,93041:1,
43.919499,1,884,-78.862175,,,,,Ritson Northbound @ Tulip,0,884:1,
43.89199751,1,93055,-79.05006017,,,,,Westney Southbound @ Taunton,0,93055:1,
43.824718,2,93501,-79.053242,,,,,Squires Beach Southbound @ Clements,0,93501:1,
43.85673,1,3585,-78.94298,,,,,Southbound @ 300 Gordon (Lakeridge Health Whitby),0,35851,
43.874698,1,1003,-78.862502,,,,,Malaga Westbound @ Park,0,1003:1,
43.9569741,1,512,-78.9653316,,,,,Vipond Eastbound @ Montgomery,0,512:1,
43.895268,1,1171,-78.878156,,,,,Bond Westbound @ Gibbons,0,1171:1,
43.86729177,1,262,-78.900295,,,,,Westbound @ 1716 Victoria,0,262:1,
43.893348,1,1177,-78.88199,,,,,King Eastbound @ Stevenson,0,1177:1,
43.854752,1,2155,-79.022922,,,,,Harwood Northbound @ Oak,0,2155:1,
43.88225,1,431,-78.931069,,,,,Dundas Eastbound @ Lupin,0,431:1,
43.815805,2,1664,-79.103394,,,,,West Shore Southbound @ Breezy,0,1664:1,
43.858455,1,2157,-79.024518,,,,,Harwood Northbound @ Mandrake,0,2157:1,
43.870936,2,3432,-79.068386,,,,,Rossland Westbound @ Shell,0,3432:1,
43.870202,2,3434,-79.07128,,,,,Rossland Eastbound @ Stannardville,0,3434:1,
43.88507983,1,2141,-79.032344,,,,,Harwood Southbound @ Woodcock,0,2141:1,
43.9550968,1,514,-78.9735875,,,,,Vipond Eastbound @ Sabrina,0,514:1,
43.8908141,1,93492,-78.8064094,,,,,Townline Northbound @ Bloor (South side stop),0,93492:1,
43.884079,2,173,-78.943797,,,,,Brock Street Northbound @ Walnut,0,173:1,
43.915083,1,869,-78.860639,,,,,Ritson Southbound @ Oshawa Boulevard (South stop),0,869:1,
43.880664,2,427,-78.938157,,,,,Dundas Eastbound @ Hickory,0,427:1,
43.89248,1,1300,-78.842598,,,,,Olive Eastbound @ Lasalle,0,1300:1,
43.844825,1,94095,-79.094491,,,,,Liverpool Southbound @ Finch,0,940951,
43.794213,2,93989,-79.234918,,,,,Progress Southbound @ Sheppard,0,939891,
43.908273,2,93720,-78.706862,,,,,Clarington Northbound @ Prince William,0,937201,
43.8797255,2,425,-78.9424105,,,,,Dundas Eastbound @ Brock Street,0,425:1,
43.838509,1,1920,-79.093254,,,,,Glenanna Westbound @ Glendale,0,1920:1,
43.8985764,2,1165,-78.8638232,,,,,Bond Westbound @ Simcoe,0,1165:1,
43.9177648,1,90088,-78.9471226,,,,,Taunton Westbound @ Garden (East side stop),0,90088:1,
43.929724,1,863,-78.866915,,,,,Ritson Southbound @ Beatrice,0,863:1,
43.8971812,2,1167,-78.8700233,,,,,Bond Westbound @ Arena,0,1167:1,
43.9451727,1,90051,-78.8686743,,,,,Coldstream Eastbound @ Whitestone,0,90051:1,
43.925248,1,835,-78.912558,,,,,Eastbound @ 899 Taunton,0,835:1,
44.099892,2,2512,-78.944804,,,,,Scugog Eastbound @ Simcoe,0,2512:1,
43.871258,1,1019,-78.854967,,,,,Glen Southbound @ Porter,0,1019:1,
43.9549931281,2,3631,-78.9545788076,,,,,Winchester Eastbound @ Simcoe,0,36311,
44.107457,2,2514,-78.948792,,,,,Simcoe Northbound @ Balsam,0,2514:1,
43.7866837,1,9473,-79.188152,,,,,Ellesmere Westbound @ Military Trail,0,9473:1,
43.884355,1,1283,-78.887447,,,,,Gibb Eastbound @ Vancouver,0,1283:1,
43.879703,2,171,-78.942101,,,,,Brock Street Northbound @ Dundas,0,171:1,
43.904153,1,1194,-78.834637,,,,,King Eastbound @ Harmony,0,1194:1,
43.885932,1,1285,-78.880513,,,,,Gibb Eastbound @ Stevenson (West side stop),0,1285:1,
43.8666738,1,93150,-79.0171273,,,,,Salem Northbound @ Ringer,0,93150:1,
43.9109185,2,93733,-78.702306,,,,,Durham Highway 2 Eastbound @ Bowmanville Ave,0,937331,
43.9461252,1,90080,-78.844471,,,,,Eastbound @ 1321 Coldstream,0,90080:1,
43.89786363,2,93534,-78.794723,,,,,Glenabbey Westbound @ Prestonvale,0,93534:1,
