block_id,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id,direction_name
a_64004_Timetable_-_2022-03,410,1,1,Oshawa Centre Terminal,100.0.1046829822_Timetable_-_2022-03,Sunday Plus,7930__64004_Timetable_-_2022-03,Southbound
b_62006_Timetable_--_2022-04,216,1,0,Taunton,100.0.1046828841_Timetable_--_2022-04,Saturday,7304__62006_Timetable_--_2022-04,Northbound
b_72910_Timetable_--_2022-04,915,1,0,Harmony Terminal,100.0.1046830199_Timetable_--_2022-04,Sunday,8633__72910_Timetable_--_2022-04,Eastbound
a_74004_Timetable_-_2022-03,410,1,0,Harmony Terminal,100.0.1046829821_Timetable_-_2022-03,Sunday Minus,7993__74004_Timetable_-_2022-03,Northbound
a_14011_Timetable_-_2022-03,902,1,0,B - Trulls Road,100.0.11522185212_Timetable_-_2022-03,Saturday Plus,6464__14011_Timetable_-_2022-03,Eastbound
a_74004_Timetable_-_2022-03,405,1,1,C - Oshawa Centre Terminal via Delpark Homes Centre,100.0.1046829424_Timetable_-_2022-03,Sunday Minus,8122__74004_Timetable_-_2022-03,Southbound
a_12908_Timetable_-_2022-03,900,1,1,Scarborough,100.0.995817752_Timetable_-_2022-03,Saturday Plus,9514__12908_Timetable_-_2022-03,Westbound
a_14006_Timetable_-_2022-03,403,1,1,Oshawa Station,100.0.1046829271_Timetable_-_2022-03,Saturday Plus,5797__14006_Timetable_-_2022-03,Southbound
b_3138_Timetable_--_2022-04,905,1,1,Whitby Station,100.0.1433264882_Timetable_--_2022-04,Weekday,6777__3138_Timetable_--_2022-04,Southbound
b_3140_Timetable_--_2022-04,917,1,0,Oshawa Centre Terminal,100.0.1046831486_Timetable_--_2022-04,Weekday,6248__3140_Timetable_--_2022-04,Eastbound
a_12915_Timetable_-_2022-03,N1,1,1,Centennial Circle,100.0.1306700972_Timetable_-_2022-03,Saturday Plus,6921__12915_Timetable_-_2022-03,Westbound
b_3723_Timetable_--_2022-04,917,1,1,Pickering Parkway Terminal,100.0.1046831481_Timetable_--_2022-04,Sunday,6392__3723_Timetable_--_2022-04,Westbound
b_74011_Timetable_--_2022-04,410,1,1,Oshawa Centre Terminal,100.0.1046829822_Timetable_--_2022-04,Sunday,7498__74011_Timetable_--_2022-04,Southbound
a_74907_Timetable_-_2022-03,900,1,0,Oshawa,100.0.995817755_Timetable_-_2022-03,Sunday Minus,8805__74907_Timetable_-_2022-03,Eastbound
b_14021_Timetable_--_2022-04,410,1,0,Harmony Terminal,100.0.1046829821_Timetable_--_2022-04,Weekday,5723__14021_Timetable_--_2022-04,Northbound
a_62008_Timetable_-_2022-03,120,1,1,Pickering Station,100.0.1046828734_Timetable_-_2022-03,Sunday Plus,7437__62008_Timetable_-_2022-03,Southbound
a_12016_Timetable_-_2022-03,103,1,1,Pine Grove Avenue,100.0.1383072901_Timetable_-_2022-03,Saturday Plus,5400__12016_Timetable_-_2022-03,Westbound
b_12023_Timetable_--_2022-04,110,1,0,Pickering Parkway Terminal,100.0.1263064133_Timetable_--_2022-04,Weekday,5219__12023_Timetable_--_2022-04,Eastbound
a_62009_Timetable_-_2022-03,120,1,0,Sunbird Trail,100.0.1046828733_Timetable_-_2022-03,Sunday Plus,7442__62009_Timetable_-_2022-03,Northbound
a_72906_Timetable_-_2022-03,915,1,1,Ajax Station,100.0.1046830191_Timetable_-_2022-03,Sunday Minus,9130__72906_Timetable_-_2022-03,Westbound
a_64909_Timetable_-_2022-03,900,1,0,Oshawa,100.0.995817755_Timetable_-_2022-03,Sunday Plus,8640__64909_Timetable_-_2022-03,Eastbound
a_72006_Timetable_-_2022-03,216,1,0,Taunton,100.0.1046828841_Timetable_-_2022-03,Sunday Minus,7858__72006_Timetable_-_2022-03,Northbound
b_12912_Timetable_--_2022-04,915,1,0,Harmony Terminal,100.0.1046830199_Timetable_--_2022-04,Weekday,9229__12912_Timetable_--_2022-04,Eastbound
a_14009_Timetable_-_2022-03,902,1,0,B - Trulls Road,100.0.11522185212_Timetable_-_2022-03,Saturday Plus,6476__14009_Timetable_-_2022-03,Eastbound
a_64003_Timetable_-_2022-03,403,1,1,Oshawa Station,100.0.1046829271_Timetable_-_2022-03,Sunday Plus,8331__64003_Timetable_-_2022-03,Southbound
b_14911_Timetable_--_2022-04,901,1,0,Ontario Tech/Durham College North Campus,2.0.12015901_Timetable_--_2022-04,Weekday,5815__14911_Timetable_--_2022-04,Northbound
b_3128_Timetable_--_2022-04,905,1,0,A - Harmony Terminal,100.0.1433264883_Timetable_--_2022-04,Weekday,6761__3128_Timetable_--_2022-04,Northbound
a_62006_Timetable_-_2022-03,224,1,1,Ajax Station,100.0.1046832382_Timetable_-_2022-03,Sunday Plus,7630__62006_Timetable_-_2022-03,Westbound
b_72003_Timetable_--_2022-04,916,1,0,Harmony Terminal,100.0.104683032916_Timetable_--_2022-04,Sunday,8811__72003_Timetable_--_2022-04,Eastbound
a_74001_Timetable_-_2022-03,411,1,1,Oshawa Centre Terminal,100.0.1304096544_Timetable_-_2022-03,Sunday Minus,8549__74001_Timetable_-_2022-03,Westbound
b_14011_Timetable_--_2022-04,411,1,1,Oshawa Centre Terminal,100.0.1393318751_Timetable_--_2022-04,Weekday,5766__14011_Timetable_--_2022-04,Westbound
